,Date,SPG_High_Prices,SPG_Low_Prices,SPG_Closed_Prices
523,2021-02-09,42.96,41.81,42.51
524,2021-02-08,43.4597,41.36,43.24
525,2021-02-05,41.4,40.75,41.15
526,2021-02-04,41.07,39.94,40.93
527,2021-02-03,39.9,38.7,39.78
528,2021-02-02,38.88,37.99,38.8
529,2021-02-01,38.4448,37.415,37.82
530,2021-01-29,39.83,37.74,37.96
531,2021-01-28,40.37,38.99,40.08
532,2021-01-27,39.2254,38.1609,38.52
533,2021-01-26,39.64,38.98,39.32
534,2021-01-25,39.75,38.42,38.9
535,2021-01-22,40.27,39.81,40.0
536,2021-01-21,41.43,40.17,40.67
537,2021-01-20,41.77,40.5,41.62
538,2021-01-19,40.65,39.8007,40.31
539,2021-01-15,41.67,39.96,39.98
540,2021-01-14,42.64,41.12,41.47
541,2021-01-13,40.74,39.6299,40.45
542,2021-01-12,40.41,39.16,40.3
543,2021-01-11,39.99,38.9,39.41
544,2021-01-08,40.6911,39.765,40.02
545,2021-01-07,40.945,40.21,40.23
546,2021-01-06,40.9,39.54,40.38
547,2021-01-05,40.085,38.45,39.55
548,2021-01-04,40.34,38.3306,38.73
549,2020-12-31,40.74,39.76,40.21
550,2020-12-30,40.905,39.89,40.56
551,2020-12-29,40.84,39.9,40.03
552,2020-12-28,40.7758,40.01,40.15
553,2020-12-24,40.44,39.605,39.73
554,2020-12-23,40.47,39.18,40.24
555,2020-12-22,40.49,38.84,38.94
556,2020-12-21,40.35,39.16,40.14
557,2020-12-18,41.03,40.28,40.68
558,2020-12-17,41.42,40.61,41.11
559,2020-12-16,41.81,40.66,41.08
560,2020-12-15,41.93,40.1576,41.85
561,2020-12-14,42.38,40.67,40.69
562,2020-12-11,42.43,41.14,41.74
563,2020-12-10,42.75,41.07,42.62
564,2020-12-09,43.48,41.3348,42.11
565,2020-12-08,42.88,41.77,42.41
566,2020-12-07,42.83,41.74,42.35
567,2020-12-04,43.49,42.0701,42.36
568,2020-12-03,43.76,41.56,42.95
569,2020-12-02,41.275,39.0582,41.07
570,2020-12-01,41.06,39.92,39.96
571,2020-11-30,41.05,39.35,40.25
572,2020-11-27,42.19,40.775,41.06
573,2020-11-25,41.487,40.05,41.29
574,2020-11-24,41.29,39.41,41.26
575,2020-11-23,38.85,37.43,38.79
576,2020-11-20,38.09,36.97,37.13
577,2020-11-19,38.13,37.48,37.91
578,2020-11-18,39.3,37.89,37.91
579,2020-11-17,38.05,36.66,37.6
580,2020-11-16,38.65,37.24,38.0
581,2020-11-13,36.675,34.85,36.46
582,2020-11-12,35.55,34.02,34.38
583,2020-11-11,36.79,34.73,35.02
584,2020-11-10,37.17,35.69,37.04
585,2020-11-09,38.69,34.68,36.77
586,2020-11-06,31.8435,31.03,31.42
587,2020-11-05,32.26,30.8,31.98
588,2020-11-04,31.31,30.11,30.43
589,2020-11-03,31.36,30.64,30.9
590,2020-11-02,30.63,29.67,30.22
591,2020-10-30,30.99,29.99,30.64
592,2020-10-29,30.91,29.3402,30.76
593,2020-10-28,30.15,28.74,29.65
594,2020-10-27,32.06,30.69,30.71
595,2020-10-26,33.5,31.53,31.93
596,2020-10-23,34.04,32.9,34.0
597,2020-10-22,33.805,31.72,33.72
598,2020-10-21,31.94,31.37,31.5
599,2020-10-20,32.41,31.59,31.98
600,2020-10-19,32.27,31.31,31.5
601,2020-10-16,31.76,31.24,31.47
602,2020-10-15,31.455,30.685,31.34
603,2020-10-14,32.32,31.65,31.76
604,2020-10-13,32.39,31.48,31.77
605,2020-10-12,32.805,32.3,32.64
606,2020-10-09,33.2742,32.29,32.81
607,2020-10-08,33.0,31.915,32.68
608,2020-10-07,32.36,31.64,32.15
609,2020-10-06,32.72,30.91,31.06
610,2020-10-05,32.43,31.52,32.0
611,2020-10-02,32.3,29.61,31.75
612,2020-10-01,31.36,30.575,31.1
613,2020-09-30,31.85,30.48,30.58
614,2020-09-29,31.11,30.3,30.61
615,2020-09-28,31.96,30.1389,31.34
616,2020-09-25,29.7901,28.78,29.78
617,2020-09-24,29.51,27.92,29.01
618,2020-09-23,31.03,29.49,29.56
619,2020-09-22,30.54,29.7201,30.22
620,2020-09-21,31.2,29.42,29.82
621,2020-09-18,34.02,32.575,32.84
622,2020-09-17,35.07,33.635,33.96
623,2020-09-16,34.99,33.19,34.57
624,2020-09-15,34.4781,33.1,33.51
625,2020-09-14,32.9,32.01,32.82
626,2020-09-11,32.13,31.34,31.7
627,2020-09-10,32.7084,31.67,31.79
628,2020-09-09,32.44,31.32,31.76
629,2020-09-08,33.1,31.34,32.54
630,2020-09-04,32.37,30.61,31.77
631,2020-09-03,32.53,30.47,31.22
632,2020-09-02,31.3,30.14,31.14
633,2020-09-01,31.61,29.75,30.71
634,2020-08-31,32.01,30.8,30.85
635,2020-08-28,31.99,30.73,31.99
636,2020-08-27,32.21,30.62,30.82
637,2020-08-26,30.22,29.62,29.95
638,2020-08-25,30.28,29.33,30.1
639,2020-08-24,29.8,27.54,29.8
640,2020-08-21,27.86,27.17,27.27
641,2020-08-20,27.7891,27.02,27.62
642,2020-08-19,29.115,27.555,27.67
643,2020-08-18,28.28,27.374,27.63
644,2020-08-17,29.04,27.76,28.02
645,2020-08-14,29.19,28.15,28.95
646,2020-08-13,29.58,28.485,28.7
647,2020-08-12,30.28,28.3601,29.09
648,2020-08-11,30.82,29.43,29.64
649,2020-08-10,29.41,27.375,29.34
650,2020-08-07,27.2,26.465,27.18
651,2020-08-06,27.2999,26.13,27.08
652,2020-08-05,27.04,25.75,26.47
653,2020-08-04,26.22,25.31,25.67
654,2020-08-03,25.48,24.3817,25.2
655,2020-07-31,25.005,24.425,24.97
656,2020-07-30,25.375,24.82,24.94
657,2020-07-29,26.19,25.38,25.72
658,2020-07-28,26.3,25.34,25.94
659,2020-07-27,26.16,25.37,25.5
660,2020-07-24,26.6384,25.88,25.96
