,Date,DAL_High_Prices,DAL_Low_Prices,DAL_Closed_Prices
414,2021-07-16,127.83,124.32,124.5
415,2021-07-15,127.81,125.29,126.54
416,2021-07-14,128.65,126.15,127.45
417,2021-07-13,130.04,126.43,126.61
418,2021-07-12,130.7771,128.055,130.27
419,2021-07-09,129.78,126.68,129.69
420,2021-07-08,126.265,122.01,125.09
421,2021-07-07,127.31,124.1,125.79
422,2021-07-06,129.35,126.08,127.64
423,2021-07-02,132.07,129.18,129.63
424,2021-07-01,132.89,129.07,131.54
425,2021-06-30,132.28,130.25,130.48
426,2021-06-29,132.22,130.58,130.99
427,2021-06-28,131.03,128.25,130.2
428,2021-06-25,131.6,129.85,131.07
429,2021-06-24,132.875,129.88,130.62
430,2021-06-23,132.99,130.81,132.21
431,2021-06-22,131.4,129.23,130.25
432,2021-06-21,131.82,126.4,131.5
433,2021-06-18,128.2107,125.28,125.33
434,2021-06-17,130.96,126.05,128.66
435,2021-06-16,132.5063,130.04,130.73
436,2021-06-15,133.61,130.3,131.29
437,2021-06-14,135.2,132.0901,133.28
438,2021-06-11,134.84,133.32,134.23
439,2021-06-10,136.57,132.7,134.54
440,2021-06-09,136.63,135.31,135.59
441,2021-06-08,136.7,133.8999,135.71
442,2021-06-07,134.25,131.77,134.0
443,2021-06-04,134.9321,131.62,132.27
444,2021-06-03,134.75,132.03,134.06
445,2021-06-02,135.515,132.35,135.19
446,2021-06-01,134.21,129.7,134.19
447,2021-05-28,129.2,127.66,128.49
448,2021-05-27,128.72,127.1,128.29
449,2021-05-26,127.02,123.8,126.7
450,2021-05-25,126.6899,124.18,124.4
451,2021-05-24,124.98,122.31,124.64
452,2021-05-21,124.31,121.95,122.38
453,2021-05-20,123.0865,120.75,122.57
454,2021-05-19,122.32,118.41,122.27
455,2021-05-18,123.85,120.72,122.57
456,2021-05-17,123.18,121.2101,122.24
457,2021-05-14,122.95,118.75,122.18
458,2021-05-13,121.31,116.53,117.99
459,2021-05-12,123.36,117.21,117.62
460,2021-05-11,123.97,119.572,122.64
461,2021-05-10,128.25,125.64,126.75
462,2021-05-07,125.0,121.8,124.94
463,2021-05-06,122.98,120.28,122.92
464,2021-05-05,122.65,120.335,120.92
465,2021-05-04,123.96,120.4,121.36
466,2021-05-03,123.83,121.64,123.2
467,2021-04-30,123.095,120.9333,121.74
468,2021-04-29,125.55,121.77,123.33
469,2021-04-28,125.42,122.65,123.1
470,2021-04-27,123.3,119.46,122.36
471,2021-04-26,121.7,118.43,120.17
472,2021-04-23,117.12,115.41,116.92
473,2021-04-22,119.06,115.57,115.65
474,2021-04-21,117.9,112.61,117.63
475,2021-04-20,116.42,113.12,114.26
476,2021-04-19,116.89,114.95,116.56
477,2021-04-16,118.5,115.93,117.12
478,2021-04-15,115.56,113.62,114.57
479,2021-04-14,115.75,113.56,113.76
480,2021-04-13,114.1,111.3,113.38
481,2021-04-12,116.87,113.4401,114.74
482,2021-04-09,116.21,114.04,115.91
483,2021-04-08,115.64,113.61,114.33
484,2021-04-07,117.71,115.12,117.01
485,2021-04-06,116.86,114.51,116.49
486,2021-04-05,116.0,113.27,115.05
487,2021-04-01,115.35,112.63,115.2
488,2021-03-31,115.65,113.47,113.77
489,2021-03-30,116.45,113.7,115.39
490,2021-03-29,115.24,110.96,113.81
491,2021-03-26,116.66,112.21,114.67
492,2021-03-25,114.15,106.68,113.64
493,2021-03-24,114.28,109.39,109.4
494,2021-03-23,114.96,109.52,110.41
495,2021-03-22,116.88,113.8412,115.25
496,2021-03-19,118.46,114.11,116.69
497,2021-03-18,120.82,115.63,116.82
498,2021-03-17,118.66,116.46,118.24
499,2021-03-16,121.11,116.745,117.19
500,2021-03-15,121.92,116.85,121.01
501,2021-03-12,118.03,115.6,117.85
502,2021-03-11,117.02,113.27,115.84
503,2021-03-10,114.93,110.69,114.31
504,2021-03-09,112.75,108.71,111.0
505,2021-03-08,114.97,111.17,111.7
506,2021-03-05,112.29,104.12,111.17
507,2021-03-04,115.16,106.75,110.11
508,2021-03-03,115.725,112.05,113.99
509,2021-03-02,114.11,111.34,111.68
